,word,score,frequency,feature_proportion,eojeol_proportion,josa_variety,unique_josa_proportion
12793,19회,0.999605,22,0.15384615384615385,0.4090909090909091,1,1.0
12794,3국,0.7855755,60,0.875,0.7333333333333333,2,0.6666666666666666
12795,홍보효과,0.99903725,6,1.0,0.3333333333333333,2,1.0
12796,17개월,0.9207,9,1.0,0.8888888888888888,1,1.0
12797,대추축제장,0.7167849999999999,7,1.0,0.0,3,1.0
12798,단편영화,0.999867,3,1.0,0.6666666666666666,1,1.0
12799,중소게임사,0.9783203333333333,4,0.75,0.0,3,1.0
12800,프론트,0.9997135,5,0.4,0.0,2,1.0
12801,영월군,0.666366,13,0.42857142857142855,0.46153846153846156,2,0.6666666666666666
12802,악의적,0.999659,21,0.5,0.23809523809523808,2,1.0
12803,최고치,0.8175005641025642,143,0.9285714285714286,0.11888111888111888,9,0.8181818181818182
12804,순천시의회,0.9791868333333333,31,1.0,0.8064516129032258,3,1.0
12805,다단계판매원,0.999725,4,1.0,0.0,1,1.0
12806,십자,0.9680006470588235,53,0.6538461538461539,0.018867924528301886,1,0.5
12807,해물,0.9998486666666667,17,0.42857142857142855,0.5882352941176471,2,1.0
12808,수입차,0.8233193529411766,54,0.7727272727272727,0.5925925925925926,5,0.7142857142857143
12809,벌이기,0.7875121428571428,41,1.0,0.6585365853658537,2,1.0
12810,6만원대,1.0,11,1.0,0.7272727272727273,1,1.0
12811,의료지원,0.0,3,0.0,1.0,0,0.0
12812,외피,0.99883,5,1.0,0.8,1,1.0
12813,부동산중개업자,0.999605,4,0.5,0.5,1,1.0
12814,신촌역,0.999913,5,1.0,0.8,1,1.0
12815,전북대,0.7869042,274,0.020242914979757085,0.09854014598540146,4,0.8
12816,사천공항,0.999772,3,1.0,0.0,1,1.0
12817,재판과정,0.9997290555555556,18,1.0,0.0,3,1.0
12818,부자연,1.0,3,0.6666666666666666,0.0,2,1.0
12819,작곡한곡,0.9996495714285715,7,1.0,0.0,2,1.0
12820,지휘자,0.9649521111111111,33,0.75,0.6363636363636364,5,1.0
12821,소매,0.7303249565217392,134,0.25555555555555554,0.3283582089552239,6,0.75
12822,25만명,0.9997012,8,1.0,0.375,3,1.0
12823,내부설계,0.9792533333333333,3,1.0,0.0,2,1.0
12824,성향,0.8022994736842106,169,0.9851851851851852,0.20118343195266272,13,0.9285714285714286
12825,해오름극장,0.9997070000000001,7,1.0,0.2857142857142857,1,1.0
12826,수호,0.9919477169811323,74,0.828125,0.13513513513513514,14,1.0
12827,내담자,0.9787693333333333,3,1.0,0.0,3,1.0
12828,19년동안,0.0,14,0.0,1.0,0,0.0
12829,흑미,0.998082,4,1.0,0.5,2,1.0
12830,구가,0.9700054230769232,46,0.9285714285714286,0.391304347826087,6,1.0
12831,공급부족,0.6697226666666666,6,1.0,0.5,2,1.0
12832,서울대의대,0.0,5,0.0,1.0,0,0.0
12833,대두,0.9965041071428572,32,0.9333333333333333,0.0625,11,1.0
12834,신성솔,0.264768,28,0.03571428571428571,0.0,1,1.0
12835,신고,0.9102300115874853,1192,0.8118532455315146,0.10822147651006711,49,0.875
12836,지자체,0.8966419607843137,278,0.85,0.35251798561151076,16,0.8888888888888888
12837,광주전남연구원,0.33330433333333337,10,1.0,0.7,1,0.5
12838,발발,0.9981189333333333,26,1.0,0.4230769230769231,5,1.0
12839,코팅기술,0.601863,6,1.0,0.16666666666666666,3,0.75
12840,당근,0.7521494999999999,35,0.3,0.42857142857142855,5,1.0
12841,철수,0.8859003571428572,44,0.875,0.2727272727272727,17,0.9444444444444444
12842,세방전지,0.6661558333333333,12,1.0,0.5,2,0.6666666666666666
12843,1호기,0.5578775,44,0.8421052631578947,0.5681818181818182,4,0.8
12844,숫자,0.7481652037037037,179,0.9473684210526315,0.36312849162011174,17,0.7727272727272727
12845,전망,0.9051615120218579,2528,0.7898144151920587,0.08346518987341772,58,0.9508196721311475
12846,재무,0.8021330000000001,270,0.02608695652173913,0.14814814814814814,3,0.75
12847,관망세,0.9987819545454546,23,1.0,0.043478260869565216,4,1.0
12848,식품영양학전공,0.0,10,0.0,1.0,0,0.0
12849,월별,0.9994149999999999,25,0.6666666666666666,0.76,2,1.0
12850,정치분석실장,0.999913,25,0.5,0.92,1,1.0
12851,취업규칙,0.504724,20,1.0,0.75,1,1.0
12852,딜러들,0.8883160000000001,9,1.0,0.0,2,0.6666666666666666
12853,책임성,0.6847089999999999,15,1.0,0.26666666666666666,4,1.0
12854,광고업,0.999913,14,0.07692307692307693,0.07142857142857142,1,1.0
12855,티저영상,0.5054113333333333,4,1.0,0.25,2,1.0
12856,신규주택,0.6037231999999999,21,0.7142857142857143,0.6666666666666666,2,1.0
12857,뒷문,0.6697716666666667,4,0.75,0.0,2,1.0
12858,추진위,0.99972,11,0.09090909090909091,0.0,1,1.0
12859,공수,0.5970498,8,0.7142857142857143,0.125,3,0.75
12860,직무유기,0.9996740000000001,6,1.0,0.16666666666666666,2,1.0
12861,야영장,0.8018208,9,1.0,0.4444444444444444,4,1.0
12862,백금,0.7498865,8,1.0,0.5,2,0.6666666666666666
12863,2016년6월,0.0,153,0.0,1.0,0,0.0
12864,입국심사장,0.9996866666666667,3,1.0,0.0,2,1.0
12865,지정토론,0.9999129999999999,3,1.0,0.0,1,1.0
12866,규제완화,0.684026,18,1.0,0.6111111111111112,3,1.0
12867,온라인마트,0.999605,3,1.0,0.6666666666666666,1,1.0
12868,1년,0.800116044520548,1209,0.5270758122743683,0.5417700578990902,20,0.9090909090909091
12869,제2차관,0.9083881818181819,17,1.0,0.35294117647058826,2,0.6666666666666666
12870,발표이후,0.0,4,0.0,1.0,0,0.0
12871,수신기,0.9994767499999999,5,1.0,0.2,3,1.0
12872,100억달러,0.9992175,4,1.0,0.5,2,1.0
12873,녹물,0.9995925,5,1.0,0.2,2,1.0
12874,전략시뮬레이션,0.999867,3,0.5,0.3333333333333333,1,1.0
12875,6층,0.9283255714285714,37,1.0,0.6216216216216216,3,0.75
12876,게스트하우스,0.9008369999999999,14,1.0,0.6428571428571429,3,1.0
12877,에띠케,0.999185,5,1.0,0.0,1,1.0
12878,창틀,0.9995259999999999,4,0.5,0.0,2,1.0
12879,법치,0.8154508749999999,30,0.2857142857142857,0.06666666666666667,5,1.0
12880,사우디,0.6466587212121213,541,0.44959128065395093,0.32162661737523107,13,0.9285714285714286
12881,처치,0.9959629999999999,6,0.8333333333333334,0.0,4,1.0
12882,6464,0.0,45,0.0,1.0,0,0.0
12883,완구,0.999605,27,0.04,0.07407407407407407,1,1.0
12884,호감도,0.988162,12,1.0,0.5,3,1.0
12885,전자상거래,0.9915223750000001,51,0.5333333333333333,0.7058823529411765,5,1.0
12886,경연대회,0.9129580555555558,64,1.0,0.71875,8,0.8888888888888888
12887,담요,0.9996246153846153,15,1.0,0.13333333333333333,3,1.0
12888,나무주사,0.999605,3,1.0,0.3333333333333333,1,1.0
12889,피치항공,0.6661233333333333,10,1.0,0.4,1,0.5
12890,관심거리,0.7978672,5,1.0,0.0,1,0.5
12891,연장선상,0.9997052222222221,9,1.0,0.0,4,1.0
12892,드링크,0.6698285714285716,17,1.0,0.5882352941176471,1,0.5
12893,유통,0.9449782297297299,824,0.1264957264957265,0.29004854368932037,24,0.96
12894,처지,0.7586219186046511,91,0.945054945054945,0.0,12,0.6666666666666666
12895,92건,0.999185,3,1.0,0.3333333333333333,1,1.0
12896,문집,0.9998503333333334,8,0.75,0.5,2,1.0
12897,이슈화,0.831838,7,0.8571428571428571,0.0,4,0.8
12898,인지능력,0.504724,3,1.0,0.3333333333333333,1,1.0
12899,112상황실,0.9997200000000002,5,1.0,0.0,1,1.0
12900,34만1779건,0.8757047499999999,4,1.0,0.0,3,1.0
12901,하락국면,0.33648266666666665,4,0.75,0.0,1,0.5
12902,마술사,0.887947,31,0.42857142857142855,0.3225806451612903,3,0.75
12903,판타지,0.6074147076923075,127,0.8333333333333334,0.3858267716535433,9,0.6428571428571429
12904,포멀,1.0,7,0.6,0.2857142857142857,1,1.0
12905,한국법,0.99972,85,0.011764705882352941,0.0,1,1.0
12906,1983년,0.9999066666666666,34,0.75,0.8823529411764706,2,1.0
12907,185개,0.999867,7,1.0,0.8571428571428571,1,1.0
12908,청렴교육,0.9289507142857143,11,1.0,0.36363636363636365,5,1.0
12909,공식화,0.9876173333333335,27,0.5,0.1111111111111111,6,1.0
12910,35조원,0.8340946666666667,3,1.0,0.0,3,1.0
12911,체육특기생,1.0,12,1.0,0.9166666666666666,1,1.0
12912,답변,0.7146643625498007,606,0.9094202898550725,0.0891089108910891,44,0.9166666666666666
12913,한국인들,0.9130451739130435,26,1.0,0.11538461538461539,6,0.8571428571428571
12914,팽이,0.9984695,7,0.5,0.42857142857142855,2,1.0
12915,1차선,0.4998535,4,1.0,0.5,1,0.5
12916,김홍도,0.9992877777777777,11,1.0,0.18181818181818182,3,1.0
12917,약탈,0.9071490000000001,14,0.9166666666666666,0.14285714285714285,7,1.0
12918,우아함,0.810261205882353,36,1.0,0.05555555555555555,5,0.8333333333333334
12919,투명망토,0.999867,5,1.0,0.8,1,1.0
12920,위조기계,0.0,3,0.0,1.0,0,0.0
12921,골목길,0.769990756097561,52,1.0,0.21153846153846154,8,0.8888888888888888
12922,김하영,0.9991850000000001,4,1.0,0.25,1,1.0
12923,경이,1.0,25,0.85,0.2,2,1.0
12924,수확,0.5883861571428572,172,0.8860759493670886,0.08139534883720931,15,0.75
12925,정돈,0.752362,7,0.3333333333333333,0.14285714285714285,2,1.0
12926,민종,0.9991850000000001,10,0.9,0.0,1,1.0
12927,수익사업,0.6697479999999999,10,0.8571428571428571,0.3,3,1.0
12928,도서벽지,0.0,5,0.0,1.0,0,0.0
12929,백상예술대상,0.0,7,0.0,1.0,0,0.0
12930,건강보험료,0.999605,11,1.0,0.36363636363636365,1,1.0
12931,간이,0.3453751666666667,217,0.029850746268656716,0.07373271889400922,3,0.6
12932,2025년,0.9674274193548387,43,0.9117647058823529,0.20930232558139536,3,0.75
12933,울산지방법원,0.99972,4,1.0,0.75,1,1.0
12934,시민불편,0.9994276666666666,6,1.0,0.5,2,1.0
